Item Name, Price of Fab., Price of Kit, Price Difference
Professional Killstreak Air Strike Kit, 1.30, 6.74, 5.44
Professional Killstreak Ambassador Kit, 7.88, 15.00, 7.12
Professional Killstreak Amputator Kit, 0.06, 5.23, 5.17
Professional Killstreak Apoco-Fists Kit, 0.06, 5.21, 5.15
Professional Killstreak Atomizer Kit, 0.07, 5.18, 5.11
Professional Killstreak AWPer Hand Kit, 13.01, 19.13, 6.12
Professional Killstreak Axtinguisher Kit, 0.35, 5.93, 5.58
Professional Killstreak Baby Face's Blaster Kit, 0.69, 6.49, 5.80
Professional Killstreak Back Scatter Kit, 0.10, 5.00, 4.90
Professional Killstreak Back Scratcher Kit, 0.06, 5.90, 5.84
Professional Killstreak Backburner Kit, 2.30, 7.51, 5.21
Professional Killstreak Bat Kit, 0.05, 5.68, 5.63
Professional Killstreak Bat Outta Hell Kit, 0.08, 6.98, 6.90
Professional Killstreak Batsaber Kit, 0.13, 5.82, 5.69
Professional Killstreak Bazaar Bargain Kit, 11.47, 19.09, 7.62
Professional Killstreak Beggar's Bazooka Kit, 4.97, 10.29, 5.32
Professional Killstreak Big Earner Kit, 1.55, 7.09, 5.54
Professional Killstreak Big Kill Kit, 0.89, 5.84, 4.95
Professional Killstreak Black Box Kit, 19.98, 23.00, 3.02
Professional Killstreak Black Rose Kit, 1.68, 7.67, 5.99
Professional Killstreak Blutsauger Kit, 0.64, 6.46, 5.82
Professional Killstreak Bonesaw Kit, 0.05, 6.26, 6.21
Professional Killstreak Boston Basher Kit, 0.05, 5.63, 5.58
Professional Killstreak Bottle Kit, 1.26, 5.76, 4.50
Professional Killstreak Brass Beast Kit, 8.31, 12.67, 4.36
Professional Killstreak Bread Bite Kit, 0.07, 6.26, 6.19
Professional Killstreak Bushwacka Kit, 0.57, 6.02, 5.45
Professional Killstreak C.A.P.P.E.R Kit, 1.38, 7.66, 6.28
Professional Killstreak Candy Cane Kit, 0.03, 5.77, 5.74
Professional Killstreak Chargin' Targe Kit, 0.12, 5.37, 5.25
Professional Killstreak Claidheamh Mòr Kit, 0.10, 5.18, 5.08
Professional Killstreak Classic Kit, 2.30, 7.70, 5.40
Professional Killstreak Cleaner's Carbine Kit, 0.04, 6.21, 6.17
Professional Killstreak Conniver's Kunai Kit, 17.52, 24.87, 7.35
Professional Killstreak Conscientious Objector Kit, 9.95, 17.48, 7.53
Professional Killstreak Cow Mangler 5000 Kit, 3.08, 8.33, 5.25
Professional Killstreak Crusader's Crossbow Kit, 11.86, 16.02, 4.16
Professional Killstreak Degreaser Kit, 27.30, 30.45, 3.15
Professional Killstreak Detonator Kit, 0.82, 6.40, 5.58
Professional Killstreak Diamondback Kit, 0.47, 5.58, 5.11
Professional Killstreak Direct Hit Kit, 5.98, 12.49, 6.51
Professional Killstreak Disciplinary Action Kit, 0.54, 6.68, 6.14
Professional Killstreak Dragon's Fury Kit, 6.67, 9.23, 2.56
Professional Killstreak Enforcer Kit, 0.05, 4.96, 4.91
Professional Killstreak Equalizer Kit, 0.08, 3.92, 3.84
Professional Killstreak Escape Plan Kit, 0.86, 6.60, 5.74
Professional Killstreak Eureka Effect Kit, 0.11, 5.32, 5.21
Professional Killstreak Eviction Notice Kit, 0.03, 3.81, 3.78
Professional Killstreak Eyelander Kit, 15.47, 23.77, 8.30
Professional Killstreak Family Business Kit, 0.52, 6.39, 5.87
Professional Killstreak Fan O'War Kit, 0.08, 5.49, 5.41
Professional Killstreak Fire Axe Kit, 0.05, 4.75, 4.70
Professional Killstreak Fists Kit, 0.31, 5.46, 5.15
Professional Killstreak Fists of Steel Kit, 0.07, 6.01, 5.94
Professional Killstreak Flame Thrower Kit, 44.06, 52.72, 8.66
Professional Killstreak Flare Gun Kit, 2.48, 7.44, 4.96
Professional Killstreak Flying Guillotine Kit, 0.31, 5.98, 5.67
Professional Killstreak Force-A-Nature Kit, 9.62, 16.99, 7.37
Professional Killstreak Fortified Compound Kit, 0.46, 5.59, 5.13
Professional Killstreak Freedom Staff Kit, 0.03, 5.15, 5.12
Professional Killstreak Frontier Justice Kit, 6.29, 13.58, 7.29
Professional Killstreak Frying Pan Kit, 10.50, 16.83, 6.33
Professional Killstreak Gloves of Running Urgently Kit, 0.04, 3.35, 3.31
Professional Killstreak Grenade Launcher Kit, 23.54, 32.10, 8.56
Professional Killstreak Gunslinger Kit, 5.09, 10.99, 5.90
Professional Killstreak Half-Zatoichi Kit, 3.74, 9.10, 5.36
Professional Killstreak Ham Shank Kit, 0.97, 6.46, 5.49
Professional Killstreak Hitman's Heatmaker Kit, 4.95, 9.98, 5.03
Professional Killstreak Holiday Punch Kit, 0.06, 5.26, 5.20
Professional Killstreak Holy Mackerel Kit, 0.53, 5.56, 5.03
Professional Killstreak Homewrecker Kit, 0.06, 5.75, 5.69
Professional Killstreak Hot Hand Kit, 0.12, 6.25, 6.13
Professional Killstreak Huntsman Kit, 5.33, 11.23, 5.90
Professional Killstreak Huo-Long Heater Kit, 0.15, 4.49, 4.34
Professional Killstreak Iron Bomber Kit, 26.96, 35.62, 8.66
Professional Killstreak Iron Curtain Kit, 5.38, 11.66, 6.28
Professional Killstreak Jag Kit, 8.47, 19.17, 10.70
Professional Killstreak Killing Gloves of Boxing Kit, 0.12, 5.11, 4.99
Professional Killstreak Kit, 0.00, 1543.12, 0.00
Professional Killstreak Knife Kit, 21.05, 27.75, 6.70
Professional Killstreak Kritzkrieg Kit, 16.23, 20.20, 3.97
Professional Killstreak Kukri Kit, 0.30, 5.58, 5.28
Professional Killstreak L'Etranger Kit, 0.51, 6.10, 5.59
Professional Killstreak Liberty Launcher Kit, 0.21, 4.53, 4.32
Professional Killstreak Loch-n-Load Kit, 2.67, 6.57, 3.90
Professional Killstreak Lollichop Kit, 0.05, 6.44, 6.39
Professional Killstreak Loose Cannon Kit, 5.26, 11.05, 5.79
Professional Killstreak Lugermorph Kit, 8.08, 10.81, 2.73
Professional Killstreak Machina Kit, 1.05, 7.27, 6.22
Professional Killstreak Manmelter Kit, 0.05, 5.11, 5.06
Professional Killstreak Mantreads Kit, 0.21, 5.46, 5.25
Professional Killstreak Market Gardener Kit, 6.76, 12.49, 5.73
Professional Killstreak Maul Kit, 0.06, 5.76, 5.70
Professional Killstreak Medi Gun Kit, 68.43, 76.01, 7.58
Professional Killstreak Minigun Kit, 41.49, 49.29, 7.80
Professional Killstreak Natascha Kit, 1.31, 7.16, 5.85
Professional Killstreak Neon Annihilator Kit, 0.05, 4.60, 4.55
Professional Killstreak Nessie's Nine Iron Kit, 0.05, 6.06, 6.01
Professional Killstreak Original Kit, 24.93, 29.98, 5.05
Professional Killstreak Overdose Kit, 0.04, 4.63, 4.59
Professional Killstreak Pain Train Kit, 0.12, 6.06, 5.94
Professional Killstreak Panic Attack Kit, 8.05, 15.13, 7.08
Professional Killstreak Persian Persuader Kit, 0.05, 5.25, 5.20
Professional Killstreak Phlogistinator Kit, 10.31, 18.14, 7.83
Professional Killstreak Pistol Kit, 7.50, 12.23, 4.73
Professional Killstreak Pomson 6000 Kit, 0.04, 6.49, 6.45
Professional Killstreak Postal Pummeler Kit, 0.04, 5.15, 5.11
Professional Killstreak Powerjack Kit, 2.60, 6.95, 4.35
Professional Killstreak Pretty Boy's Pocket Pistol Kit, 0.20, 5.48, 5.28
Professional Killstreak Quick-Fix Kit, 4.50, 10.92, 6.42
Professional Killstreak Quickiebomb Launcher Kit, 1.24, 6.03, 4.79
Professional Killstreak Rainblower Kit, 0.18, 5.57, 5.39
Professional Killstreak Rescue Ranger Kit, 3.61, 9.82, 6.21
Professional Killstreak Reserve Shooter Kit, 0.06, 4.86, 4.80
Professional Killstreak Revolver Kit, 3.16, 9.05, 5.89
Professional Killstreak Righteous Bison Kit, 0.13, 5.48, 5.35
Professional Killstreak Rocket Launcher Kit, 63.88, 73.27, 9.39
Professional Killstreak Sandman Kit, 0.04, 6.36, 6.32
Professional Killstreak Scattergun Kit, 45.51, 62.36, 16.85
Professional Killstreak Scorch Shot Kit, 3.45, 9.47, 6.02
Professional Killstreak Scotsman's Skullcutter Kit, 0.36, 6.22, 5.86
Professional Killstreak Scottish Handshake Kit, 0.08, 4.20, 4.12
Professional Killstreak Scottish Resistance Kit, 0.81, 7.08, 6.27
Professional Killstreak Shahanshah Kit, 0.04, 6.25, 6.21
Professional Killstreak Sharp Dresser Kit, 0.82, 6.36, 5.54
Professional Killstreak Sharpened Volcano Fragment Kit, 0.05, 5.63, 5.58
Professional Killstreak Shooting Star Kit, 3.39, 9.22, 5.83
Professional Killstreak Short Circuit Kit, 0.05, 5.49, 5.44
Professional Killstreak Shortstop Kit, 1.11, 7.87, 6.76
Professional Killstreak Shotgun Kit, 25.78, 31.21, 5.43
Professional Killstreak Shovel Kit, 0.06, 6.36, 6.30
Professional Killstreak SMG Kit, 8.62, 14.00, 5.38
Professional Killstreak Sniper Rifle Kit, 47.20, 62.68, 15.48
Professional Killstreak Soda Popper Kit, 4.77, 10.86, 6.09
Professional Killstreak Solemn Vow Kit, 0.04, 5.45, 5.41
Professional Killstreak Southern Hospitality Kit, 0.05, 4.88, 4.83
Professional Killstreak Splendid Screen Kit, 0.13, 5.64, 5.51
Professional Killstreak Spy-cicle Kit, 0.28, 5.68, 5.40
Professional Killstreak Stickybomb Launcher Kit, 32.71, 37.30, 4.59
Professional Killstreak Sun-on-a-Stick Kit, 0.04, 5.72, 5.68
Professional Killstreak Sydney Sleeper Kit, 1.98, 6.22, 4.24
Professional Killstreak Syringe Gun Kit, 0.04, 5.86, 5.82
Professional Killstreak Third Degree Kit, 0.03, 5.76, 5.73
Professional Killstreak Three-Rune Blade Kit, 0.16, 5.48, 5.32
Professional Killstreak Tide Turner Kit, 0.36, 6.16, 5.80
Professional Killstreak Tomislav Kit, 32.57, 49.74, 17.17
Professional Killstreak Tribalman's Shiv Kit, 0.04, 4.11, 4.07
Professional Killstreak Ubersaw Kit, 2.53, 7.03, 4.50
Professional Killstreak Ullapool Caber Kit, 0.09, 6.17, 6.08
Professional Killstreak Unarmed Combat Kit, 0.04, 3.92, 3.88
Professional Killstreak Vaccinator Kit, 4.75, 10.29, 5.54
Professional Killstreak Vita-Saw Kit, 0.04, 3.86, 3.82
Professional Killstreak Wanga Prick Kit, 0.04, 5.59, 5.55
Professional Killstreak Warrior's Spirit Kit, 0.05, 5.88, 5.83
Professional Killstreak Widowmaker Kit, 2.60, 8.12, 5.52
Professional Killstreak Winger Kit, 0.13, 4.99, 4.86
Professional Killstreak Wrap Assassin Kit, 0.08, 6.17, 6.09
Professional Killstreak Wrench Kit, 24.17, 32.89, 8.72
Professional Killstreak Your Eternal Reward Kit, 0.24, 5.10, 4.86
Specialized Killstreak Air Strike Kit, 0.03, 1.72, -1.69
Specialized Killstreak Ambassador Kit, 0.04, 1.78, -1.74
Specialized Killstreak Amputator Kit, 0.03, 1.80, -1.77
Specialized Killstreak Apoco-Fists Kit, 0.03, 1.67, -1.64
Specialized Killstreak Atomizer Kit, 0.03, 1.85, -1.82
Specialized Killstreak AWPer Hand Kit, 0.19, 2.20, -2.01
Specialized Killstreak Axtinguisher Kit, 0.03, 1.76, -1.73
Specialized Killstreak Baby Face's Blaster Kit, 0.03, 1.74, -1.71
Specialized Killstreak Back Scatter Kit, 0.03, 1.80, -1.77
Specialized Killstreak Back Scratcher Kit, 0.03, 1.96, -1.93
Specialized Killstreak Backburner Kit, 0.03, 1.76, -1.73
Specialized Killstreak Bat Kit, 0.03, 1.95, -1.92
Specialized Killstreak Bat Outta Hell Kit, 0.03, 1.78, -1.75
Specialized Killstreak Batsaber Kit, 0.03, 0.57, -0.54
Specialized Killstreak Bazaar Bargain Kit, 0.03, 1.79, -1.76
Specialized Killstreak Beggar's Bazooka Kit, 0.03, 1.95, -1.92
Specialized Killstreak Big Earner Kit, 0.03, 1.72, -1.69
Specialized Killstreak Big Kill Kit, 0.03, 1.11, -1.08
Specialized Killstreak Black Box Kit, 0.15, 2.01, -1.86
Specialized Killstreak Black Rose Kit, 0.03, 1.44, -1.41
Specialized Killstreak Blutsauger Kit, 0.03, 1.87, -1.84
Specialized Killstreak Bonesaw Kit, 0.03, 1.74, -1.71
Specialized Killstreak Boston Basher Kit, 0.03, 1.79, -1.76
Specialized Killstreak Bottle Kit, 0.04, 1.93, -1.89
Specialized Killstreak Brass Beast Kit, 0.03, 1.93, -1.90
Specialized Killstreak Bread Bite Kit, 0.03, 0.92, -0.89
Specialized Killstreak Bushwacka Kit, 0.03, 1.85, -1.82
Specialized Killstreak C.A.P.P.E.R Kit, 0.03, 1.65, -1.62
Specialized Killstreak Candy Cane Kit, 0.03, 1.90, -1.87
Specialized Killstreak Chargin' Targe Kit, 0.03, 1.78, -1.75
Specialized Killstreak Claidheamh Mòr Kit, 0.03, 1.73, -1.70
Specialized Killstreak Classic Kit, 0.03, 1.65, -1.62
Specialized Killstreak Cleaner's Carbine Kit, 0.03, 2.15, -2.12
Specialized Killstreak Conniver's Kunai Kit, 0.07, 1.93, -1.86
Specialized Killstreak Conscientious Objector Kit, 0.88, 2.60, -1.72
Specialized Killstreak Cow Mangler 5000 Kit, 0.03, 2.22, -2.19
Specialized Killstreak Crusader's Crossbow Kit, 0.05, 1.88, -1.83
Specialized Killstreak Degreaser Kit, 0.13, 1.87, -1.74
Specialized Killstreak Detonator Kit, 0.03, 2.04, -2.01
Specialized Killstreak Diamondback Kit, 0.03, 1.86, -1.83
Specialized Killstreak Direct Hit Kit, 0.03, 1.81, -1.78
Specialized Killstreak Disciplinary Action Kit, 0.03, 1.93, -1.90
Specialized Killstreak Dragon's Fury Kit, 0.03, 1.93, -1.90
Specialized Killstreak Enforcer Kit, 0.03, 1.80, -1.77
Specialized Killstreak Equalizer Kit, 0.03, 1.93, -1.90
Specialized Killstreak Escape Plan Kit, 0.03, 1.85, -1.82
Specialized Killstreak Eureka Effect Kit, 0.03, 1.79, -1.76
Specialized Killstreak Eviction Notice Kit, 0.03, 1.99, -1.96
Specialized Killstreak Eyelander Kit, 0.20, 2.08, -1.88
Specialized Killstreak Family Business Kit, 0.03, 1.92, -1.89
Specialized Killstreak Fan O'War Kit, 0.03, 1.87, -1.84
Specialized Killstreak Fire Axe Kit, 0.03, 1.77, -1.74
Specialized Killstreak Fists Kit, 0.03, 2.03, -2.00
Specialized Killstreak Fists of Steel Kit, 0.03, 1.87, -1.84
Specialized Killstreak Flame Thrower Kit, 2.11, 4.20, -2.09
Specialized Killstreak Flare Gun Kit, 0.03, 1.80, -1.77
Specialized Killstreak Flying Guillotine Kit, 0.03, 1.72, -1.69
Specialized Killstreak Force-A-Nature Kit, 0.07, 1.87, -1.80
Specialized Killstreak Fortified Compound Kit, 0.03, 1.85, -1.82
Specialized Killstreak Freedom Staff Kit, 0.03, 1.84, -1.81
Specialized Killstreak Frontier Justice Kit, 0.03, 1.93, -1.90
Specialized Killstreak Frying Pan Kit, 1.67, 3.53, -1.86
Specialized Killstreak Gloves of Running Urgently Kit, 0.03, 1.76, -1.73
Specialized Killstreak Grenade Launcher Kit, 0.72, 2.72, -2.00
Specialized Killstreak Gunslinger Kit, 0.03, 1.96, -1.93
Specialized Killstreak Half-Zatoichi Kit, 0.03, 1.92, -1.89
Specialized Killstreak Ham Shank Kit, 0.03, 2.13, -2.10
Specialized Killstreak Hitman's Heatmaker Kit, 0.03, 1.89, -1.86
